Names,Price,Links
"Apple iPad Pro 10.5"" 64GB Wi-Fi + Cellular Unlocked Tablet Space Gray",$184.45,https://www.ebay.com/itm/304919687501?epid=238132492&hash=item46fea1314d:g:GQUAAOSw9mtkUBtM&amdata=enc%3AAQAIAAAAwGs3ivkFkzR1iyNyTqF9yHOher0NCmzDwOfeqqc3RXaU9fC3DNZmB7YVwWajNy%2FOSVEa2hQXjf0oiTtwQX2ouTTWIr4USbUtAZUwuoa2sQjMkjeJpmsFYvdS1ZRRof%2FjzK0deFZ0EqbcmAmVBSSQ2GZ0%2B7fsEnZmkb%2Bwf3g3TIC%2BTp6Py0RB%2BN6drmJ5ydNnumcEFaRro1ctUXkZZF516yghWX43O7cLj3WmnxsYyBf4AxylDAVBPWPz02EQ3O5lyQ%3D%3D%7Ctkp%3ABk9SR67Pl9mVYg
iPad Pro 1st Gen 10.5in 256GB Wi Fi + 4G   Space Grey Unlocked,$225.95,https://www.ebay.com/itm/285322514423?epid=238187554&hash=item426e8c0ff7:g:pNYAAOSwQHlkglvb&amdata=enc%3AAQAIAAAA4POVwIEHY2x3VOSM%2F6PrX5goEzIm4tEuXxme%2BbEQHDec7lvmKvwT0D64R6F8DeKUmj%2FUekl0c2JN0jQ%2FZISW7uPacpl8xlUfct118jP5Wb%2BXbe7SZ5w0fPr1yZg66Bt3srfIcA4RC7dYx5nIWC8uCGZYIo0atiiH8JxWlbSf1jVfCECP0DFV6%2Bzp26kzmYZx4ZU6U4MLWWa7oTzUoZmjCtAK%2FQNzxxVW6BICpzzdBdSxOJ8e7VhBBEcNmajV%2BopafWKBCyQZYlXld2CLxEix1JY5Uej3%2BYKITgUynL9y%2FR7B%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad 9th Gen. 64GB, Wi-Fi, 10.2 in - Silver",$249.99,https://www.ebay.com/itm/385657349554?epid=15049285841&hash=item59caf825b2:g:4pQAAOSwlYtke0tB&amdata=enc%3AAQAIAAAA4GYYT9pFK9A0DxMawHxjNx3eLyo6xXZXKjlUd3Xz18dya14qJz%2BseVcq6CQYMmP0%2BePB1BX%2BHmJ8ppuyIii8mOPgioYNJHxpkv0wX3olXnclGd2ZYXxy%2Fh344Cq%2Fhv73i4io0mvJjGpcjkXdJRNPJVPj5pPk17i0U5tTdYf3TW%2Fc0W0dGe8Ut2uGJsoSCC0zpE9cmK1qIgrX9hNkNgVcu77NoUJIS4Uv8beqC2Ut5v%2Bsvdos1X3dC0fAtx6WbezxOdQ%2BQibk69Jji7FAGvduMlhULZQhP0gB7h9CkiwQpsUZ%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad Pro 1st Gen. 256GB, Wi-Fi + 4G (Unlocked), 10.5 in - Silver *READ*",$198.00,https://www.ebay.com/itm/125928686631?epid=238132462&hash=item1d51ef4427:g:H3sAAOSw499kW5H6&amdata=enc%3AAQAIAAAAwH%2BjNhlcxAzAbBGbLHptKaY7cGdYeUfoSJoYbELt8AbGfa8C1597sz61Sys0aBQzyn3EPlWFcJyR7iDbzNR9wPaZtNds0Cus4i7KCmQHRW5uiPbM%2FokjaKY1nMytC%2BfThifrPjxB9v9mWvgTTWlrqaU6jYFv19OqrXS8RfxgCoHE0A%2Bu7hAofpuj%2F5LHYPhajuBz4WQOahYShB7%2FHprPdsYAL%2F9V%2FmWKkqbqo9IACdGGAsZZv2cs78AM5W1wbsxPGw%3D%3D%7Ctkp%3ABk9SR67Pl9mVYg
"Brand New Apple iPad 9th Gen 64GB / 256GB WiFi 10.2""",$299.99,https://www.ebay.com/itm/304490655935?epid=15049285841&hash=item46e50eb0bf:g:MmsAAOSwnDxigkuM&amdata=enc%3AAQAIAAAA4CDNS0fIyxiH%2Bp%2B%2ByDclSJlnk37rDaeT8g%2F0FJdqOxg4Ced3XQ%2BosfhGqkFpzjA92iN5uCp6rjBjeFatOxNOAV8dqVhxDFLuTXPAXWHFa1x000htNku2qf0RZWga3dP%2FBK02In4UineHODVYLqf16kyk3fpIbkqs7SgxIBgkkwKvBg43F0IN3hwrxtyusob4MpADMqERZ%2B%2B%2FTDYdd70%2FsPJ6LcFBU9oY017OpbINlmFzWCn%2Fr0UqESAbIQdON1teVDoP7lxONMIU9Yquu76e%2Func9pDFsJCsj3VBEBV6Af%2Fk%7Ctkp%3ABk9SR7DPl9mVYg
"Apple iPad Mini (5th Generation) 256GB, Wi-Fi, 7.9in - Space Gray",$299.99,https://www.ebay.com/itm/275859680589?epid=10030602290&hash=item403a84ad4d:g:uNEAAOSwz1xkZ8It&amdata=enc%3AAQAIAAAAwFjcRUUwzyY09cJdwtH2ktNKq%2BWIzEo10mjTdQHDDa9SK3qTryb2GaF5O2zpa7Ccp1ZPGnZYbVOkK7voeC%2Bhona6DrIwYQ81bKkFmO%2BjevV6SigWmXpbky9uS%2B2LH88nYb0Oe2NeZ%2Fuya4WSxphC3KImmwu%2FFub3LNgVH%2F9wMnhQt%2Fye3UDQnpyT4Ragt5hUVhe1LxtcFH539enP6fHFKixKfv2%2Bli6L38Wzwfd4AH9MRpNwa2cEXfG4FSCSKbYuVg%3D%3D%7Ctkp%3ABk9SR7DPl9mVYg
Apple iPad 9th Gen 10.2in Wi Fi + Cellular 64GB   Space Gray Unlocked -FAIR,$229.95,https://www.ebay.com/itm/266270364282?epid=14049280915&hash=item3dfef3527a:g:F58AAOSwMcZkbnuN&amdata=enc%3AAQAIAAAAwCm2EAAp31J0uwYIOFWU2Lv1szeYVoViMqp459eMWqG5uqBscF3WyDcj3I3vmL4CrL0vaUQWCQUkzWCbea18H3FOKgfcWiEZOGcf5fvulqyoFtNq2ISNayZ7Od8wR1pkUUZbMfdoZYYF%2B%2BQlpC%2FrhIz2N8yqOJwc2u4UVRpY8Tfu3HWncHP%2BEeD8ZBUQYN8uGT5Bz%2FPUWSqw6FGAA1CNdh6iJ0LCBrLgkuVgx7ODvSVusnoqTVyjsqQmVyUMI%2FsOnw%3D%3D%7Ctkp%3ABk9SR7DPl9mVYg
"Apple iPad 8th Gen. 32GB, Wi-Fi + 4G (Unlocked), 10.2 in - Space Gray",$250.00,https://www.ebay.com/itm/115828324278?epid=19040886091&hash=item1af7e7f7b6:g:uZgAAOSwwRxka49P&amdata=enc%3AAQAIAAAA4JawC5ryTYTOmRJmkrUwmLNx%2BytZRf%2Bwz3YZ9kBBuAMmvAzBlmmxSahQ%2Bdlj1j8%2BqSRwYguiDzc5%2BGEfOr6dJHuy%2B0VHG2hHrLK%2BMREJ70vkixINtzDwqfEoi3i98IcJs1A7ldl4gZ2GkcrcJ35RzzZkoPrpyzFDZ0Dh%2Bs3OuHZOSQLqu0wB0EonN6go6HP8M0xsV5BsLAb5e7sRxCZ0aQmvinisxdNXyLN6BMWYnbAU9aOONcDXz7%2BpCvFPd1yU%2BPqI0IFT51JV5x%2BNAmvjjUxsmfD8RIgvod%2Bn2S2PSkfX%7Ctkp%3ABk9SR7DPl9mVYg
Apple iPad 6th Gen (2018) - 32GB - All Colors - Wi-Fi Only - Very Good,$174.99,https://www.ebay.com/itm/175139688969?epid=243957293&hash=item28c7239209:g:6P0AAOSwMhRh-p0R&amdata=enc%3AAQAIAAAA0ClX6aXgjYUWDS027NRzeVLEUJNQcjGTyjfuxOa19UfgmuwE50y7KdVG%2B9gou5eUrvwVW6XvepRz4EhsMD3EIFvk%2Fklzk%2BaHUk66P6qCS24evwY0NRdKpXIyR%2Bn6YmR62FAojX6W1sUAEjxKMwyVUZyoKCdRPeIs3bvY9fIvcRs3GpF6TQW0jTPz08FvHyuY6yqYuU2Q3vpTcEJVnFsGOHrjHfjI2TnG%2FcqdNb0ZWhzg3ku9vSMZYSc494EJ3RWuhpSsAMHZMrMhyWrNMY7B96Q%3D%7Ctkp%3ABFBMsM-X2ZVi
Apple iPad Mini 5 64GB Unlocked - Used,$229.99,https://www.ebay.com/itm/256019334415?epid=22030602741&hash=item3b9bf1050f:g:gmAAAOSwWYRkG8wf&amdata=enc%3AAQAIAAAA4FuXAIlSRh8wN%2B83vIZpPgpp4Dr6h65fG5kCNRyrNjLQnfH%2BWFOHPZ8gXdZSNxecTXH4KeMrVbe6%2Fnd96AltEB0SpnmoUbkFC6H3hAJxhqE5ezkt80%2BSFdv8wTxnQ5yz2gjQ7090a4dLQsuQcBvl3H3E3SUlVMVZMin%2Bwtxy%2FowX%2FWXgfxkY%2F1%2FBbwEcV0HVA77jf9zc7C1Ty8RRUdXKzYVLb9nmIQb1eUGdrrRx0jFLlHOledEwwrR%2FiL98Jq%2BZrzguvS6o%2FChJCuuYksUejmNPa2P5kLrnteYghaQPq71j%7Ctkp%3ABk9SR7DPl9mVYg
